category,year,first,count
Bribery / Official Corruption,2004,1,1
Bribery / Official Corruption,2008,1,1
Conduct Unbecoming (Off-Duty),2001,9,9
Conduct Unbecoming (Off-Duty),2002,3,3
Conduct Unbecoming (Off-Duty),2003,3,3
Conduct Unbecoming (Off-Duty),2004,1,1
Conduct Unbecoming (Off-Duty),2005,1,1
Conduct Unbecoming (Off-Duty),2006,3,3
Conduct Unbecoming (Off-Duty),2007,2,2
Conduct Unbecoming (Off-Duty),2009,1,1
Criminal Misconduct,2000,5,5
Criminal Misconduct,2001,1,1
Criminal Misconduct,2004,2,2
Criminal Misconduct,2005,1,1
Criminal Misconduct,2006,1,1
Criminal Misconduct,2007,1,1
Criminal Misconduct,2008,1,1
Domestic,2000,3,3
Domestic,2001,14,14
Domestic,2002,10,10
Domestic,2003,4,4
Domestic,2004,6,6
Domestic,2005,10,10
Domestic,2006,5,5
Domestic,2007,1,1
Domestic,2008,1,1
Domestic,2009,2,2
Domestic,2010,1,1
Domestic,2013,1,1
Domestic,2014,2,2
Drug / Alcohol Abuse,2002,1,1
Drug / Alcohol Abuse,2007,1,1
False Arrest,2000,1,1
False Arrest,2001,1,1
False Arrest,2002,6,6
False Arrest,2003,2,2
False Arrest,2004,5,5
False Arrest,2005,10,10
False Arrest,2006,9,9
False Arrest,2007,10,10
False Arrest,2008,7,7
False Arrest,2009,4,4
False Arrest,2010,2,2
False Arrest,2011,1,1
Illegal Search,2000,5,5
Illegal Search,2001,19,19
Illegal Search,2002,28,28
Illegal Search,2003,33,33
Illegal Search,2004,44,44
Illegal Search,2005,26,26
Illegal Search,2006,30,30
Illegal Search,2007,29,29
Illegal Search,2008,23,23
Illegal Search,2009,2,2
Illegal Search,2010,2,2
Illegal Search,2011,1,1
Illegal Search,2012,2,2
Illegal Search,2014,1,1
Lockup Procedures,2000,8,8
Lockup Procedures,2001,17,17
Lockup Procedures,2002,10,10
Lockup Procedures,2003,6,6
Lockup Procedures,2004,13,13
Lockup Procedures,2005,7,7
Lockup Procedures,2006,4,4
Lockup Procedures,2007,10,10
Lockup Procedures,2008,5,5
Lockup Procedures,2009,3,3
Lockup Procedures,2011,1,1
Operation/Personnel Violations,2000,51,51
Operation/Personnel Violations,2001,51,51
Operation/Personnel Violations,2002,95,95
Operation/Personnel Violations,2003,85,85
Operation/Personnel Violations,2004,62,62
Operation/Personnel Violations,2005,41,41
Operation/Personnel Violations,2006,67,67
Operation/Personnel Violations,2007,73,73
Operation/Personnel Violations,2008,54,54
Operation/Personnel Violations,2009,22,22
Operation/Personnel Violations,2010,13,13
Operation/Personnel Violations,2012,1,1
Operation/Personnel Violations,2013,1,1
Operation/Personnel Violations,2014,1,1
Supervisory Responsibilities,2000,2,2
Supervisory Responsibilities,2001,7,7
Supervisory Responsibilities,2002,2,2
Supervisory Responsibilities,2003,3,3
Supervisory Responsibilities,2004,5,5
Supervisory Responsibilities,2005,2,2
Supervisory Responsibilities,2006,1,1
Traffic,2000,4,4
Traffic,2001,12,12
Traffic,2002,13,13
Traffic,2003,9,9
Traffic,2004,5,5
Traffic,2005,1,1
Traffic,2006,10,10
Traffic,2007,8,8
Traffic,2008,4,4
Use Of Force,2000,15,15
Use Of Force,2001,27,27
Use Of Force,2002,41,41
Use Of Force,2003,37,37
Use Of Force,2004,33,33
Use Of Force,2005,43,43
Use Of Force,2006,44,44
Use Of Force,2007,51,51
Use Of Force,2008,14,14
Use Of Force,2009,8,8
Use Of Force,2010,9,9
Use Of Force,2011,6,6
Use Of Force,2012,1,1
Use Of Force,2013,1,1
Verbal Abuse,2000,4,4
Verbal Abuse,2001,15,15
Verbal Abuse,2002,15,15
Verbal Abuse,2003,12,12
Verbal Abuse,2004,9,9
Verbal Abuse,2005,2,2
Verbal Abuse,2007,5,5
Verbal Abuse,2008,1,1
